"id","name","energy_kcal","protein_g","fat_g","carb_g","fiber_g","calcium_mg","sodium_mg"
"131120","婴儿配方奶粉（超级飞帆 婴儿配方奶粉IV)",5192171,12,27.1,57.6,1.7,80,512
"131121","婴儿配方奶粉（多美滋多 乐加婴儿配方奶粉1阶段）",5032106,11.1,25.8,57.4,1.5,100,
"131122","婴儿配方奶粉（多美滋优 阶贝护婴儿配方奶粉)",4842026,10.4,26,52.2,,115,510
"131123","婴儿配方奶粉（飞帆婴儿 配方奶粉Ⅱ）",5182168,12,27,57.6,1.7,80,512
"131124","婴儿配方奶粉（合生元超 级呵护婴儿配方奶粉1阶段)",5032106,11.8,25,58.7,2,80,368
"131125","婴儿配方奶粉（亨氏超金 康儿高婴儿配方奶粉1段）",5012098,11,26,57.3,3,80,500
"131126","婴儿配方奶粉（惠氏金装 爱儿乐婴儿配方奶粉）",5342232,11,29,58.4,2.4,80,520
"131127","婴儿配方奶粉（美素佳儿 GOLD金装婴儿配方奶粉）",5102134,10.6,27,57.1,1.9,155,500
"131128","婴儿配方奶粉（美赞臣安 婴儿婴儿配方奶粉）",5142152,10.5,26,61,3,,550
"131129","婴儿配方奶粉（明治珍爱 儿婴儿配方奶粉）",5132148,12.2,225.9,58.8,2,60,380210490140.04
"131130","婴儿配方奶粉（能慧金装 婴儿配方奶粉）",,,55.1,,1.9,85,
"131131","婴儿配方奶粉（雀巢力多 精婴儿配方奶粉1）",5022103,25.5,58.9,,1.8,49,
"131132","婴儿配方奶粉（雀巢能恩 全进口奶源婴儿配方奶粉1）",5152153,27.2,57.6,,,53,
"131133","婴儿配方奶粉（三元爱力 优婴儿配方奶粉）",5202177,27.8,55.5,0.9,,95,460120
"131134","婴儿配方奶粉（三元爱欣 宝金装婴儿配方奶粉)",5172163,27.3,56.1,1.6,,87,463
"131135","婴儿配方奶粉（三元爱欣 宝婴儿配方奶粉）",5172164,27.2,56.1,1.6,,80,469
"131136","婴儿配方奶粉（三元金装 爱力优婴儿配方奶粉)",5152156,27.5,55,1,,80,450
"131137","婴儿配方奶粉（圣元优博 爱系列1婴儿配方奶粉）",5112136,27,55.3,0,,109,426
"131138","婴儿配方奶粉（圣元优聪 金装要儿配方奶粉)",4932064,25,55.2,,,90,450120
"131139","婴儿配方奶粉（特选初生 婴儿配方奶粉1阶段)",5142151,26.8,56.2,0.6,,80,455
"131140","婴儿配方奶粉（完达山1 段配方奶粉婴儿配方奶粉)",5092130,26,56.5,0.5,,100,606
"131141","婴儿配方奶粉（完达山金 装元乳婴儿配方奶粉）",5092131,26,56.5,0.5,,100,450132
"131142","婴儿配方奶粉（完达山育儿 慧金装婴儿配方奶粉1阶段)",5082126,25.8,56.8,0.5,,90,398
"131143","婴儿配方奶粉（完达山元 乳婴儿配方奶粉1阶段）",5092130,26,56.5,0.5,,100,
"131144","婴儿配方奶粉（雅培金装 喜康宝婴儿配方奶粉）",5032106,26,58.2,3,,78,
"131145","婴儿配方奶粉（雅士利α- 金装婴儿配方奶粉）",,11.8,27.1,55.2,2,100,
"131146","婴儿配方奶粉（伊利金领 冠婴儿配方奶粉）",,11.1,27.5,54.3,0.8,85,
"131147","婴儿配方奶粉（伊利金装 婴儿配方奶粉）",,10.9,27,60.5,5.8,90,380
"131148","婴儿配方奶粉（伊利婴儿 配方奶粉）",,11,27,56,0.8,78,380
"131149","婴儿配方羊奶粉（美可高 特小婴配方羊奶粉)",,13.6,25.5,55.9,0.5,81,
"131901","婴儿配方豆粉（三元爱力 优豆基婴儿配方粉）",5202177,27.6,54.7,,,2.6,540300380
"135801","苹果胡萝卜汁（亨氏苹果",455150,1,8,,,,30
"","胡萝卜汁1阶段）",46150,1,8.2,,,,
"135802","苹果汁(亨氏苹果汁1阶段)",54180,1,10.2,,,,30
"135803","葡萄汁(亨氏葡萄汁1阶段)",43135,1,7.5,,,,30
"135804","香橙汁(亨氏香橙汁1阶段)",46149,1,8.3,,,,30
"135001","骨髓蔬菜泥（亨氏骨髓蔬 菜泥3阶段）",88371,4.6,8.4,,,,
"135002","胡萝卜鱼肉泥（亨氏胡萝 卜鱼肉泥2阶段）",54237,1.4,6,,,,
"135003","混合蔬菜泥（亨氏混合蔬 菜泥1阶段)",37123,1,6.6,1.8,,30,
"135004","混合水果泥（亨氏混合水 果泥1阶段)",269,1,13.2,,,,
"135005","苹果胡萝卜泥（亨氏苹果 胡萝下泥1阶段)",168,1,8.2,,,,
"135006","苹果南瓜红枣泥（亨氏苹 果南瓜红枣泥2阶段）",193,1,9.7,,,,
"135007","苹果泥（亨氏金香苹果泥1 阶段）",191,1,9.8,,,,
"135008","苹果香蕉泥（亨氏苹果香 蕉泥1阶段）",277,1,14.2,,,,
"135009","三文鱼番茄泥（亨氏三文 鱼番茄泥2阶段)",273,1.7,8.6,,,,
"135010 阶段）","蔬菜骨泥（亨氏蔬菜骨泥2",189,1.5,4,,,,
"135011","甜嫩豌豆泥（亨氏甜嫩豌 豆泥1阶段)",200,1,9.3,1.5,,,
"135012","甜嫩玉米泥（亨氏甜嫩玉 米泥1阶段）",220,1,8.4,,,,
"135013","香甜胡萝卜泥（亨氏香甜 胡萝卜泥1阶段)",118,1,5.5,,,,
"135014","香甜南瓜泥（亨氏香甜南 瓜泥1阶段）",33123,1,6.9,1.6,,,
"135601","冻干草莓脆果（果仙多维",3521471,,83.7,,,11,
"135602","V草莓萃脆果（冻干）） 肝粉(伊威全机能肝粉)",,25.2,20,,,395,
"135603","肝酥（方广宝宝营养猪肝酥）",4201780,20,35,,,680,
"135604","肉松 (伊威婴幼儿纯肉松)",4301820,22,22,36,,,1000
"135605","肉酥（贝因美宝宝菠菜营养",,32,20,42,,,950
"135606","肉酥） 肉酥（贝因美宝宝胡萝卜营",,32,20,42,,,950
"135607","养肉酥) 肉酥（原味）（贝因美宝宝",,32,20,42,,,950
"","原味营养肉酥）",420,25,20,35,,,
"134701","面条(贝因美蛋黄营养面条)",991550,11,5,,5,,150
"134702","面条(贝因美果蔬营养面条)",,11,5,,,,150
"134703","面条(贝因美黑芝麻营养面条)",,11,5,,5,,150
"134704","面条（方广金装彩面核桃黑 芝麻蔬菜营养面)",308,6,1.5,70,5,,100
"134705","面条（亨氏金装粒粒面黑米 紫薯面）",373,11.2,4.5,72,0,47.5,80
"134706","面条(伊威猪肝蔬菜营养面)",2751250,6,3,56,,,
"134801","饼干(贝因美营养磨牙棒饼干)",3771835,8,5,75,,,300
"134802","饼干（方广科学配方宝宝机",,7,20,60,,,300
"134803","能饼干） 饼干（格兰宝小二七种蔬菜",,11.5,16.8,57,5,,310
"134804","饼干） 饼干（嘉宝草莓苹果味星星",24,,0,6,,,0
"134805","泡芙饼干) 饼干 (嘉宝香草圈圈饼干)",17,0,0.5,3,,,15
"134806","饼干（伊威全机能字母宝宝 营养饼干)",507,8.5,23.5,65.5,0.5,,300
"134001","米粉（贝因美果蔬宝多维营 养米粉）",30,1.5,,450,330,450,
"134002","米粉（贝因美乳清蛋白营养 米粉）",30,3,,420300,,420300,5
"134003","米粉（多口味装）（亨氏多 口味装婴儿营养米粉)",4071630,5.45,85.4,0.4,,,
"134004","米粉（亨氏黑米红枣营养米 粉五谷系列米粉6至36个月",4141630,,80.4,0.4,,,
"134005","适用） 米粉（亨氏胡萝卜营养米粉 1段)",4071630,5,85.4,0.4,,,
"134006","米粉（亨氏淮山薏米营养米 粉清润系列1段)",4071630,5,85.4,0.4,,,
"134007","米粉（亨氏混合蔬菜营养米粉 辅食添加初期至36个月适用)",1630,5,85.4,0.4,,,
"134008","米粉（亨氏鸡肉蔬菜营养米 粉肉鱼系列米粉6至36个月",4141630,5,80.4,0.4,,,
"适用） 134009","米粉(亨氏南瓜营养米粉1段)",4071630,5,85.4,0.4,,,
"134010","米粉（亨氏五谷杂粮营养米 粉五谷系列米粉8至36个月 适用）",4151630,5,79.8,0.8,,,
"134011","米粉（亨氏鳕鱼苹果营养米 粉6至36个月适用）",4141630,5,80.4,0.4,,,
"134012","米粉（亨氏婴儿营养米粉辅 食添加初期至36个月适用）",1630,5,85.4,0.4,,,
"134013","米粉（亨氏鱼肉蔬菜营养米 粉6至36个月适用）",4141630,5,80.4,0.4,,,
"134014","米粉（亨氏猪肝蔬菜营养米 粉6至36个月适用）",1630,5,80.4,0.4,,,
"134015","米粉（嘉宝缤纷水果营养米 粉2阶段）",1612,1.9,87.2,2.6,,,590
"134016","米粉（嘉宝菠莱营养米粉2 阶段）",3851636,1.9,87,2.6,,,570
"134017","米粉（嘉宝番茄牛肉营养米 粉3阶段)",3861636,,,86.2,2.6,,5
"134018","米粉（嘉宝胡萝卜营养米粉 1阶段）",3851636,6.4,1.9,87,2.6,,
"134019","米粉（嘉宝燕麦营养米粉3 阶段）",382,9.5,1.5,84.5,3.9,,
"134020","米粉(嘉宝营养米粉1阶段)",386,6.4,1.9,87,2.6,,575
"134021","米粉（金装宝贝营养菠菜营 养米粉）",385,6.4,1.9,87,2.6,,570
"134022","米粉（金装宝贝营养钙铁锌 营养米粉）",386,6.4,1.9,87,2.6,,575
"134023","米粉（金装宝贝营养什锦水 果营养米粉)",385,6.2,1.9,87.2,2.6,,590
"134024","米粉（金装宝贝营养西红柿 牛肉营养米粉）",386,7.2,1.9,86.2,2.6,,610
"134025","米粉（金装宝贝营养燕麦营 养米粉）",382,9.51,,84.5,3.9,,600
"134026","米粉 (金装核桃营养米粉)",384,7.5,1.5,85,,,
"134027","米粉(金装胡萝卜营养米粉)",384,6.5,1.5,86,,,
"134028","米粉(金装牛肉菠菜营养米粉)",384,7.5,1.5,85,,,
"134029","米粉（金装三文鱼胡萝卜营 养米粉)",384,7.5,1.5,85,,,
"134030","米粉（金装什果套餐营养米粉）",3841630,6.5,1.5,86,,,
"134031","米粉(金装锌铁钙营养米粉)",384,7.5,1.5,85,,,
"134032","米粉(金装猪肝蔬菜营养米粉）",384,7.5,1.5,85,,,
"134033","米粉（圣元DHA&胡萝卜 营养米粉1段)",4311626,7.05,,92,5,,
"134034","米粉（圣元多维蔬菜营养米 粉2段)",4311626,7.05,92,,5,,6
"134035","米粉（圣元钙铁锌营养米粉 1段）",4311626,7.05,92,,5,,6
"134036","米粉（圣元淮山薏米营养米 粉2段)",4311626,5,92,5,,500,6
"134037","米粉（圣元鸡肉香菇营养米 粉3段）",4331626,5,92,5,,,6
"134038","米粉（圣元乳清蛋白营养米 粉2段)",4081698,2,87,5,,,8
"134039","米粉（圣元什锦水果营养米 粉2段）",4311626,5,92,5,,,6
"134040","米粉 (圣元营养米粉1段)",4311626,5,92,5,,,6
"134041","米粉（圣元鱼肉菠菜营养米 粉2段）",4331626,5,92,5,,,6
"134042","米粥（干）（方广鳕鱼胡萝 卜营养雪花粥)",3101490,2,70,5,,,300
"134043","奶米粉（亨氏强化铁锌钙营 养奶米粉辅食添加初期至36 个月适用）",40771630,5,85.4,0.4,,,
"134044","奶米粉（亨氏乳清蛋白营养 奶米粉）",4071630,5.45,85.4,0.4,,,
"134601","米粉（亨氏AD钙高蛋白营 养米粉加奶补钙系列米粉6 至36个月适用）",4181630,5,79.4,0.4,,,
"134602","米粉（圣元高蛋白营养米粉 3段）",4081698,2,87,5,,,
"133201","婴儿配方奶粉（超级能恩 乳蛋白部分水解婴幼儿配方 奶粉1段）",5132146,26,59.9,,,51,375208583206
"133202","婴儿配方奶粉（雅培金装 亲护乳蛋白部分水解婴儿配 方奶粉1阶段)",5122142,27.5,54.9,1.1,,61,677
"133401","婴儿配方奶粉（惠氏S-26 金装爱儿加早产儿出院后配 方奶粉）",5242192,54,,,707,2.86,
"132701","幼儿配方奶粉（贝因美幼 儿成长配方奶粉）",484203016.521,56.2,0.6,,655,,630
"132702","幼儿配方奶粉（超级飞帆 幼儿配方奶粉IV）",,,56.41,,673,80,5570
"132703","幼儿配方奶粉（超级能恩 幼儿配方奶粉3段）",,57.6,,,509,,
"132704","幼儿配方奶粉（多美滋多 学1加幼儿配方奶粉3阶段)",450189316,16,61.1,1.2,,70,
"132705","幼儿配方奶粉（多美滋优 阶幼儿配方奶粉）",4381843,16,57.6,,,124,
"132706","幼儿配方奶粉（多美滋幼 衡多营养幼儿配方奶粉)",4491889,16,60.9,1.2,,70,
"132707","幼儿配方奶粉（飞帆幼儿 配方奶粉Ⅱ）",4671961,19,56.7,1.4,,80,
"132708","幼儿配方奶粉（合生元超 级呵护幼儿配方奶粉3阶段)",4641949,19,59.8,3,,40.9,448390.0356
"132709","幼儿配方奶粉（亨氏超金 学儿高幼儿配方奶粉3段）",4761996,21,56.4,2.4,,100,140
"132710","幼儿配方奶粉（惠氏金装 膳儿加幼儿全营养配方奶粉)",4551913,16,62.4,1.4,,135,212
"132711","幼儿配方奶粉（惠氏金装 幼儿乐幼儿配方奶粉）",4431864,16,60.7,1.7,,114,2241
"132712","幼儿配方奶粉（美素佳儿 GOLD 金装幼儿配方奶粉）",4491888,16.2,59.9,2.4,,100,
"132713","幼儿配方奶粉（美赞臣安 儿宝幼儿配方奶粉）",4511894,16.5,58,,,100,220
"132714","幼儿配方奶粉（能慧金装 幼儿配方奶粉）",4761995,21.5,53.5,1.9,,105,
"132715","幼儿配方奶粉（欧世蒙牛金 装佳智幼儿配方奶粉3阶段）",4661954,21.3,52.5,,,140,245
"132716","幼儿配方奶粉（雀巢力多 精幼儿配方奶粉3)",3531474,19.8,29.7,1.7,,,8352240
"132717","幼儿配方奶粉（雀巢能恩 全进口奶源幼儿配方奶粉3）",4782007,20.2,59.1,,,48.5,208
"132718","幼儿配方奶粉（三元爱力 优幼儿配方奶粉）",4651950,19.5,54.1,0.9,,97,652496760340.05
"132719","幼儿配方奶粉（三元爱欣 宝金装幼儿配方奶粉)",,,54.8,,1.7,97,
"132720","幼儿配方奶粉（三元爱欣 宝幼儿配方奶粉）",4641947,19.5,,54.9,1.8,96,
"132721","幼儿配方奶粉（三元金装 爱力优幼儿配方奶粉)",4581924,19,54.1,,0.9,80,
"132722","幼儿配方奶粉（圣元优博 爱系列3幼儿配方奶粉）",4601931,18,57.6,,0,95,372
"132723","幼儿配方奶粉（圣元优聪 金装幼儿配方奶粉）",4671960,18.5,58.2,,,100,400
"132724","幼儿配方奶粉（特选健儿 成长配方奶粉3阶段）",4842030,21.6,56.2,0.6,,,630
"132725","幼儿配方奶粉（完达山3 段配方奶粉幼儿配方奶粉）",4832023,22,55.4,0.9,,100,916
"132726","幼儿配方奶粉（完达山金 装元乳幼儿配方奶粉）",4872040,22,56.7,1.1,,99,715
"132727","幼儿配方奶粉（完达山育儿 慧金装幼儿配方奶粉3阶段)",4832023,22,55.6,0.9,,90,
"132728","幼儿配方奶粉（完达山元 乳幼儿配方奶粉3阶段）",4862039,22,56.5,0.9,,99,
"132729","幼儿配方奶粉（雅培金装 喜康宝幼儿配方奶粉）",4872041,23.8,52.6,2.6,,96,
"132730","幼儿配方奶粉（雅培金装 小安素全营养幼儿配方粉）",4571919,17.1,62.3,,3,110,635
"132731","幼儿配方奶粉（雅士利α- 金装幼儿配方奶粉）",4731984,21,53.7,2,,105,8633
"132732","幼儿配方奶粉（伊利金领 冠幼儿配方奶粉）",24701970,20.5,54.3,1,,95,500140
"132733","幼儿配方奶粉（伊利金装 幼儿配方奶粉）",4571918,17.8,57.6,1,,82,
"132734","幼儿配方奶粉（伊利幼儿 配方奶粉）",,17.6,19,54.9,1,,
"132735","幼儿配方羊奶粉（美可高 特幼儿配方羊奶粉）",,20.8,25,46.5,0.7,,
"132101","较大婴儿配方奶粉（超级 飞帆较大婴儿配方奶粉IV）",,15.2,21.5,57.6,1.4,80,
"132102","较大婴儿配方奶粉（多美 滋多领加较大婴儿配方奶粉",,16,21.3,56.1,1.5,110,
"132103","2阶段） 较大婴儿配方奶粉（多美 滋优阶贝护延续较大婴儿配",,15.2,20.4,52.6,,120,
"132104","方奶粉） 较大婴儿配方奶粉（飞帆 较大婴儿配方奶粉Ⅱ）",482,15,21.5,57.8,1.4,80,530
"132105","较大婴儿配方奶粉（合生 元超级呵护较大婴儿配方奶 粉2阶段）",4832023,15,22.5,56.5,3,42.5,465
"132106","较大婴儿配方奶粉（亨氏 超金智儿高较大婴儿配方奶 粉2段)",477199915.521,,57.8,2.8,,90,
"132107","较大婴儿配方奶粉（惠氏 金装健儿乐较大婴儿和幼儿 配方奶粉）",4822023,22,57.2,2.2,,144,
"132108","较大婴儿配方奶粉（美素 佳儿GOLD金装较大婴儿配 方奶粉）",4782007,,59,2.7,,125,
"132109","较大婴儿配方奶粉（美赞 臣安婴宝较大婴儿配方奶粉）",4731985,18.9,61.8,2.8,,110,
"132110","较大婴儿配方奶粉（明治 珍爱宝较大婴儿和幼儿配方 奶粉）",4681965,18,62.9,2,,50,7902
"132111","较大婴儿配方奶粉（能慧 金装较大婴儿配方奶粉）",4751993,21.5,54.3,1.9,,105,
"132112","较大婴儿配方奶粉（欧世 蒙牛金装佳智较大婴儿配方 奶粉2阶段）",4741987,22.9,51.8,,,140,
"132113","较大婴儿配方奶粉（完达 山2段配方奶粉较大婴儿配 方奶粉）",4852033,22.5,55.1,0.9,,100,
"132114","较大婴儿配方奶粉（完达山 金装元乳较大婴儿配方奶粉)",4892050,22.5,56.3,1,,100,350700152
"132115","较大婴儿配方奶粉（完达 山育儿慧金装较大婴儿配方 奶粉2阶段）",4852033,22.5,55.2,0.9,,90,
"132116","较大婴儿配方奶粉（完达 山元乳较大婴儿配方奶粉2 阶段）",4892049,322.5,56.2,0.9,,100,700
"132117","较大婴儿配方奶粉（雅士 利α-金装较大婴儿配方奶粉)",4751990,21.3,54.2,2,,105,
"132118","较大婴儿配方羊奶粉（美 可高特大婴配方羊奶粉）",4942070,25.1,46.6,,0.7,81,815
"132401","较大婴儿和幼儿配方奶 粉（爱+婴幼儿配方奶粉3 阶段）",483202415.821,,56.9,,0.9,80,
"132402","较大婴儿和幼儿配方奶粉 （爱+幼儿配方奶粉4阶段)",4812017,21,56.9,0.9,,80,600
"132403","较大婴儿和幼儿配方奶粉 （贝因美较大婴儿配方奶粉）",4882048,22.5,56,0.6,,,630
"132404","较大婴儿和幼儿配方奶 粉（超级能恩较大婴儿及幼 儿配方奶粉2段)",4942071,22.7,57.6,,,,
"132405","较大婴儿和幼儿配方奶 粉（雀巢力多精较大幼儿及 幼儿配方奶粉2）",4701975,19.8,59.1,1.7,,,
"132406","较大婴儿和幼儿配方奶 粉（雀巢能恩全进口奶源较 大婴儿及幼儿配方奶粉2)",4782007,20.2,59.1,,,48.5,
"132407","较大婴儿和幼儿配方奶 粉（三元爱力优较大婴儿及 幼儿配方奶粉）",4621938,816.619,55.2,0.9,,96,
"132408","较大婴儿和幼儿配方奶 粉（三元爱欣宝金装较大婴 儿及幼儿配方奶粉）",4621939,19.7,55.6,1.8,,92,
"132409","较大婴儿和幼儿配方奶 粉（三元金装爱力优较大婴 儿及幼儿配方奶粉）",4651950,16.42,55.2,0.9,,50,560370709334
"132410","较大婴儿和幼儿配方奶 粉（圣元优博爱系列2较大 婴儿和幼儿配方奶粉）",481201515.021,,56.1,0,,95,
"132411","较大婴儿和幼儿配方奶 粉（圣元优聪金装较大婴儿 和幼儿配方奶粉）",4822020,21.5,56.5,,,100,
"132412","较大婴儿和幼儿配方奶 粉（特选宝宝成长配方奶粉 2阶段）",4882048,22.5,56,0.6,,,
"132413","较大婴儿和幼儿配方奶 粉（雅培金装喜康宝较大婴 幼儿配方奶粉）",487204117.023,,52.6,2.6,,96,
"132414","较大婴儿和幼儿配方奶 粉（雅培亲护金装较大婴儿 和幼儿配方奶粉2阶段)",4932065,23.8,54.7,1.1,,86.2,
"132415","较大婴儿和幼儿配方奶粉 （伊利较大婴幼儿配方奶粉）",4631944,19,57.1,0.9,,,
"132416","较大婴儿和幼儿配方奶 粉（伊利金领冠较大婴儿及 幼儿配方奶粉）",470197317,20.5,54.9,0.9,,90,500
"132417","较大婴儿和幼儿配方奶 粉（伊利金装较大婴幼儿配 方奶粉）",4671959,20,56,0.9,,85,560370450150
"039101","扁豆 (干)",339,25.3,0.4,61.9,6.5,137,2.3
"039102","扁豆 (干，白)",283,19,1.3,55.6,13.4,68,1
"039201","眉豆（干）[饭虹豆]",334,18.6,1.1,65.6,6.6,60,86.5
"039202","豇豆 (干)",336,19.3,1.2,65.6,7.1,40,6.8
"039203","豇豆（干，紫）",329,18.9,0.4,65.8,6.9,67,4
"039204","豇豆 (煮)",133,9.5,0.6,24,1.8,29,
"039301","豌豆（干)",334,20.3,1.1,65.8,10.4,97,9.7
"039302","豌豆 (花)",336,21.6,1,63.6,6.9,106,3.2
"039303","豌豆 (煮)",107,8.9,0.3,19.2,2.4,29,1
"039401","鹰嘴豆[桃豆]",340,21.2,4.2,60.1,11.6,150,6
"039901","荆豆(干)",407,43.6,14.3,28.5,5.2,207,
"039902","木豆（干）[扭豆，豆蓉】",348,19.8,4.5,58.8,3.7,231,
"031101","黄豆[大豆】",390,35,16,34.2,15.5,191,2.2199
"031102","黑豆 (干)[黑大豆]",401,36,15.9,33.6,10.2,500,243
"031103","青豆（干）[青大豆]",398,34.5,16,35.4,12.6,200,1.8128
"031104","黄豆",407,33.1,15.9,37.3,9,123,13.8211
"031201","黄豆粉",432,32.7,18.3,37.6,7,207,3.6129
"031202","豆腐花[豆腐粉］",401,10,2.6,84.3,,175,60
"031203","豆浆粉",426,19.7,9.4,66.8,2.2,101,26.4122
"031206","豆奶粉 (维维牌)",421,19.4,9.4,65.2,1,635,47
"031207","豆奶粉（多力牌）",405,12.3,6.5,76.4,,268,151.46
"031208","豆奶粉 (大磨牌)",432,27.4,13,51.6,0.3,281,99.2152
"031301x","豆腐（代表值）",84,6.6,5.3,3.4,,78,5.641
"031304","豆腐(内酯)",50,5,1.9,3.3,0.4,17,6.424
"031305","豆腐脑[老豆腐】",15,1.9,0.8,0,,18,2.828
"031306","豆腐 (北豆腐)",116,9.2,8.1,3,,105,7.363
"031307","豆腐（南豆腐）",87,5.7,5.8,3.9,,113,3.136
"031402","豆奶[豆乳]",30,2.4,1.5,1.8,,23,3.27
"031403","豆汁(生）",10,0.9,0.1,1.4,0.1,8,6.56
"031404","酸豆奶",67,2.2,1.2,11.8,,32,18.616
"031405","豆浆",31,3,1.6,1.2,,5,3.715
"031406","豆浆 (甜)",34,2.4,0.5,4.9,0.1,27,15
"031501","豆腐丝",203,21.5,10.5,6.2,1.1,204,20.6127
"031502","豆腐丝 (干)",451,57.7,22.8,3.7,,5,
"031503","豆腐丝 (油)",304,24.2,17.1,14.5,2.2,152,769.4
"031504","豆腐卷",203,17.9,11.6,7.2,1,156,81.1152
"031506","油豆腐",245,17,17.6,4.9,0.6,147,32.5
"031507","腐竹",461,44.6,21.7,22.3,1,77,26.5
"031508","枝竹",478,44.4,24.7,20.8,2.7,49,83
"031509","千张[百页]",262,24.5,16,5.5,1,313,20.6
"031510x","豆腐干 (代表值)",197,14.9,11.3,9.6,,447,329
"031511","豆腐干 (菜干)",137,13.4,7.1,5,0.3,179,633.6
"031512","豆腐干 (臭干)",99,10.2,4.6,4.5,0.4,720,33.8
"031513","豆腐干 (酱油干)",157,14.9,9.1,4,0.3,413,90.3
"031514","豆腐干 (卤干)",339,14.5,16.7,33.4,1.6,731,40.9
"031515","豆腐干 (蒲包干）",135,12.1,5.7,8.9,,134,633.1
"031516","豆腐干 (香干)",152,15.8,7.8,5.1,0.8,299,234.1
"031517","豆腐干 (小香干)",174,17.9,9.1,5.4,0.4,1019,372.3
"031518","豆腐干 (熏干)",154,15.8,6.2,8.8,0.3,173,232.7
"031519","豆肝尖",203,17.2,12,9.4,5.7,5,614.5
"031520","素大肠",155,18.1,3.6,13,1,445,144.7
"031521","素火腿",213,19.1,13.2,4.8,0.9,8,675.9
"031522","素鸡",194,16.5,12.5,4.2,0.9,319,373.8
"031523","素鸡丝卷",197,11.2,13.7,10.1,5.6,103,121
"031524","素什锦",177,14,10.2,8.3,2,174,475.1
"031525","炸素虾",582,27.6,44.4,19.3,2.7,251,1440.011
"031526","烤麸",121,20.4,0.3,9.3,0.2,30,230.038
"031527","豆腐皮",447,51.6,23,12.5,,239,7.4179
"031528 腐竹","",485,54.227,8.1,,,50,140
"031529","豆腐干",427,19.635,11.4,,0,408,109
"032101","绿豆(干)",329,21.6,0.862,,6.4,337,125
"032102","绿豆面",341,20.8,0.7,65.8,5.8,304,
"032201","绿豆饼",122,15.2,1.2,12.7,,25,21
"034101","花豆(干，红)",328,19.1,1.362,,5.5,38,12.5
"034102","花豆(干，紫)",330,17.2,1.465,7.4,0,221,19.6
"034103","芸豆（干，白)",3151320,1.4,57.2,9.8,0,,
"034104","芸豆 (干，红)",331,21.41,62.5,8.3,0,176,0.6
"034105","芸豆（千，虎皮）",341,22.5,62.5,3.5,0,156,3.3
"034106","芸豆 (干，杂，带皮)",327,22.4,0.663,,10.5,349,10.5
"035101","蚕豆（干）",338,21.6,1,61.5,1.7,31,57
"035102","蚕豆 (带皮)",326,24.6,1.1,59.9,10.9,49339,113
"035103","蚕豆（去皮）",347,25.4,1.6,58.9,2.5,54181,94
"035104","马牙大豆 (干)",338,27.2,0.959,,8.4,7,89
"035105","脑豆（干）",363,23.4,3.8,59.6,1.5,327,12.0171
"035201","蚕豆 (烤)",377,27,2,63.8,2.2,229454,10.9138
"035202","蚕豆（炸）[开花豆]",447,26.7,20,40.4,0.5,207,69
"035203","蚕豆 (煮)",62,4.8,0.5,10.1,,18,41.031
"033101","赤小豆（千）[小豆，红小豆]",324,20.2,0.6,63.4,7.7,74,2.2
"033201","小豆粥",62,1.2,0.4,13.7,0.6,13,2.3
"033204","红豆沙 (去皮)",244,4.5,0.1,57.1,1.8,19,26.3
"033205","红豆馅",261,4.5,0.2,61.7,2.8,16,28.6
"192001","菜籽油[青油]",899,,99.9,0,,9,7
"192002","茶油",899,,99.9,0,,5,0.7
"192003","大麻油 [粟米油]",899,,99.9,0,,15,1.5
"192004","豆油",899,,99.9,0,,13,4.9
"192005","红花油",899,,99.9,0,0,,
"192006","胡麻油",900,,100,0,,3,0.6
"192007","花生油",899,,99.9,0,,12,3.5
"192008","混合油 (菜+棕)",900,,99.9,0.1,,75,10.5
"192009","葵花子油",899,,99.9,0,,2,2.8
"192010","辣椒油",900,,100,0,,,
"192011","麻子籽",,,,,,,
"192012","麦胚油",899,,99.9,0,0,,
"192013","棉籽油",899,,99.8,0.1,,17,4.5
"192014","色拉油",898,,99.8,0,,18,5.1
"192015","椰子油",899,,99.9,0,0,,
"192016","玉米油",895,,99.2,0.5,,1,1.4
"192017","芝麻油[香油]",898,,99.7,0.2,,9,1.1
"192018","棕榈油",900,,100,0,,,1.3
"192019","橄榄油",899,,99.9,0,0,,
"061101x","苹果 (代表值)",53,0.4,0.213,,1.7,4,1.3
"061102","伏苹果",48,0.5,0.1,11.8,1.2,15,1.38
"061103","国光苹果",56,0.3,0.3,13.3,0.8,8,1.3
"061104","旱苹果",34,0.4,0.2,8.4,1.7,,
"061105","红富士苹果",49,0.7,0.4,11.7,2.1,3,0.7
"061106","红香蕉苹果",51,0.4,0.2,12.3,0.9,5,2
"061107","红星苹果",58,0.4,0.1,14.3,0.8,2,2.3
"061108","红玉苹果",52,0.2,0.2,14.7,4.7,,
"061109","红元帅苹果",60,0.2,0.4,14.3,0.6,2,0.7
"061110","黄香蕉苹果",53,0.3,0.2,13.7,2.2,10,0.8
"061111","黄元帅苹果",59,0.2,0.3,14.7,1.8,5,0.6
"061112","金元帅苹果",53,0.2,0.1,13.3,1.1,2,1.7
"061113","青香蕉苹果",52,0.3,0.1,13.1,1.3,9,1.3
"061114","秋里蒙苹果",43,0.2,0.2,11.9,3.7,,
"061115","香玉苹果",62,0.5,0.1,15.7,1.7,3,2.63
"061116","印度苹果",54,0.6,0.2,14.8,4.9,,
